primary_descriptor,secondary_descriptor,count
Gourmand,Sulfurous,1
Gourmand,Toasted,1
Gourmand,Tobacco,1
Gourmand,Toffee,1
Gourmand,Tonka,1
Gourmand,Tropical Fruit,1
Green,Anisic,1
Green,Aromatic,1
Green,Balsamic,1
Green,Bell Pepper,1
Green,Cabbage,1
Green,Camphoraceous,1
Green,Carrot,1
Green,Coriander,1
Green,Creamy,1
Green,Dairy,1
Green,Foliage,1
Green,Food Like,1
Green,Grapefruit,1
Green,Lavender,1
Green,Leathery,1
Green,Medicinal,1
Green,Metallic,1
Green,Mossy,1
Green,Neroli,1
Green,Nutty,1
Green,Orris,1
Green,Peanut,1
Green,Potato,1
Green,Privet,1
Green,Radish,1
Green,Saffron,1
Green,Seaweed,1
Green,Strawberry,1
Green,Tea,1
Green,Tobacco,1
Green,Verbena,1
Herbal,Aldehydic,1
Herbal,Animal Like,1
Herbal,Apple,1
Herbal,Bell Pepper,1
Herbal,Bergamot,1
Herbal,Berry,1
Herbal,Blackcurrant,1
Herbal,Cedarwood,1
Herbal,Cumin,1
Herbal,Geranium,1
Herbal,Juniper,1
Herbal,Leafy,1
Herbal,Licorice,1
Herbal,Liquorice,1
Herbal,Marine,1
Herbal,Metallic,1
Herbal,Mushroom,1
Herbal,Musty,1
Herbal,Oak,1
Herbal,Oily,1
Herbal,Pear,1
Herbal,Pineapple,1
Herbal,Powerful,1
Herbal,Rose,1
Herbal,Saffron,1
Herbal,Tarragon,1
Herbal,Watery,1
Herbal,Waxy,1
Marine,Citrus,1
Marine,Clean,1
Marine,Cooling,1
Marine,Fruity,1
Marine,Herbal,1
Marine,Mossy,1
Marine,Seaweed,1
Marine,Watery,1
Minty,Aldehydic,1
Minty,Balsamic,1
Minty,Caraway,1
Minty,Citrus,1
Minty,Lavender,1
Minty,Leafy,1
Minty,Oily,1
Minty,Powdery,1
Minty,Warm,1
Musk Like,Apple,1
Musk Like,Clean,1
Musk Like,Creamy,1
Musk Like,Dry,1
Musk Like,Fresh,1
Ozonic,Floral,1
Ozonic,Green,1
Ozonic,Metallic,1
Powdery,Balsamic,1
Powdery,Gourmand,1
Powdery,Mimosa,1
Powdery,Musk Like,1
Powdery,Raspberry,1
Powdery,Soft,1
Powdery,Vanilla,1
Powdery,Woody,1
Smoky,Animal Like,1
Smoky,Balsamic,1
Smoky,Burnt,1
Smoky,Clove,1
Smoky,Coffee,1
Smoky,Medicinal,1
Smoky,Neutral,1
Smoky,Nutty,1
Smoky,Spicy,1
Smoky,Sweet,1
Smoky,Warm,1
Smoky,Ylang,1
Spicy,Amber,1
Spicy,Animal Like,1
Spicy,Bayleaf,1
Spicy,Caramel,1
Spicy,Carnation,1
Spicy,Carrot,1
Spicy,Chilli Pepper,1
Spicy,Coriander,1
Spicy,Cumin,1
Spicy,Earthy,1
Spicy,Hay,1
Spicy,Honey,1
Spicy,Horseradish,1
Spicy,Phenolic,1
Spicy,Tea,1
Spicy,Tonka,1
Sulfurous,Blackcurrant,1
Sulfurous,Cabbage,1
Sulfurous,Dry,1
Sulfurous,Sweet,1
Sulfurous,Truffle,1
Tobacco Like,Coumarin,1
Tobacco Like,Herbal,1
Tobacco Like,Lovage,1
Tobacco Like,Plum,1
Tobacco Like,Powdery,1
Tobacco Like,Woody,1
Woody,Almond,1
Woody,Aromatic,1
Woody,Celery,1
Woody,Clean,1
Woody,Clove,1
Woody,Dusty,1
Woody,Fungal,1
Woody,Guaicwood,1
Woody,Hay,1
Woody,Liquorice,1
Woody,Medicinal,1
Woody,Musty,1
Woody,Pungent,1
Woody,Rhubarb,1
Woody,Tea,1
Woody,Tonka,1
Woody,Vegetable,1
