surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Borage,borage,NOTE,Borage,LEVEL_A_DIRECT,A
Borneol,borneol,NOTE,Borneol,LEVEL_A_DIRECT,A
Boronia,boronia,NOTE,Boronia,LEVEL_A_DIRECT,A
Bottlebrushes,bottlebrushes,NOTE,Bottlebrushes,LEVEL_A_DIRECT,A
Bougainvillea,bougainvillea,NOTE,Bougainvillea,LEVEL_A_DIRECT,A
Bourbon Geranium,bourbon geranium,NOTE,Bourbon Geranium,LEVEL_A_DIRECT,A
Bourbon Pepper,bourbon pepper,NOTE,Bourbon Pepper,LEVEL_A_DIRECT,A
Bourbon Rose,bourbon rose,NOTE,Bourbon Rose,LEVEL_A_DIRECT,A
Bourbon Vanilla,bourbon vanilla,NOTE,Bourbon Vanilla,LEVEL_A_DIRECT,A
Bourbon Vetiver,bourbon vetiver,NOTE,Bourbon Vetiver,LEVEL_A_DIRECT,A
Bourbon Whiskey,bourbon whiskey,NOTE,Bourbon Whiskey,LEVEL_A_DIRECT,A
Bourgeonal,bourgeonal,NOTE,Bourgeonal,LEVEL_A_DIRECT,A
boxwood,boxwood,NOTE,boxwood,LEVEL_A_DIRECT,A
Boysenberry,boysenberry,NOTE,Boysenberry,LEVEL_A_DIRECT,A
Bran,bran,NOTE,Bran,LEVEL_A_DIRECT,A
Brandy,brandy,NOTE,Brandy,LEVEL_A_DIRECT,A
Brazil nut,brazil nut,NOTE,Brazil nut,LEVEL_A_DIRECT,A
Brazilian Mandarin,brazilian mandarin,NOTE,Brazilian Mandarin,LEVEL_A_DIRECT,A
