accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
leather,10809,5086,0.3003466598489971,0.21015620864724194,1.4291591087520261,0.22410897057277568,0.2857808718775258,0.7841986382798207,0.1354944162465131,0.23873846990843414,0.5675432882621753,0.34004995333170823,0.265324449566811,1.2816382127123973,autumn,winter,autumn,summer
aquatic,8872,4236,0.10900378417787691,0.21015620864724194,0.5186798185955352,0.34907129738194664,0.2857808718775258,1.2214648765280014,0.36756931835619794,0.23873846990843414,1.5396317086943534,0.17435560008397652,0.265324449566811,0.6571410978846571,summer,summer,spring,winter
herbal,8607,3833,0.15960114406678927,0.21015620864724194,0.7594405375607439,0.3120953752802428,0.2857808718775258,1.092079302683331,0.2833136897746153,0.23873846990843414,1.1867115085527589,0.24498979087835349,0.265324449566811,0.9233592730648931,spring,summer,spring,winter
lavender,8336,3884,0.1917947337019495,0.21015620864724194,0.9126293957076799,0.2988195454650124,0.2857808718775258,1.045624724642433,0.24730811573989253,0.23873846990843414,1.0358955380536081,0.26207760509314604,0.265324449566811,0.9877627392463604,spring,spring,summer,winter
oud,8298,3430,0.3341763645003337,0.21015620864724194,1.5901331997346129,0.20383248313046004,0.2857808718775258,0.7132474675135516,0.12028498659112433,0.23873846990843414,0.5038357941946201,0.3417061657780825,0.265324449566811,1.2878804284187835,autumn,winter,autumn,summer
violet,7614,3290,0.1968407954241212,0.21015620864724194,0.9366404004486427,0.3157302320284161,0.2857808718775258,1.1047983371109784,0.22739287755437695,0.23873846990843414,0.9524768992680205,0.26003609499308694,0.265324449566811,0.9800683480834192,spring,spring,autumn,winter
iris,7451,3647,0.22436949971405848,0.21015620864724194,1.0676320302802678,0.2904693972872822,0.2857808718775258,1.016406015486459,0.19698046695271473,0.23873846990843414,0.8250889227373566,0.28818063604594435,0.265324449566811,1.0861442905712237,spring,autumn,winter,summer
smoky,7407,3318,0.31324673630948074,0.21015620864724194,1.4905423842855938,0.2075888912504102,0.2857808718775258,0.7263918326184351,0.12797528746121073,0.23873846990843414,0.5360480341115298,0.35118908497889906,0.265324449566811,1.3236212703061374,autumn,winter,autumn,summer
lactonic,7015,3348,0.20736409515004262,0.21015620864724194,0.9867141041648404,0.2801955680859667,0.2857808718775258,0.9804559914914363,0.2643059387891367,0.23873846990843414,1.1070940468476185,0.24813439797485526,0.265324449566811,0.9352112041690032,spring,summer,winter,autumn
yellow floral,6986,3153,0.18057612267815704,0.21015620864724194,0.8592471468747488,0.3169861868960967,0.2857808718775258,1.1091931549286624,0.25441366454382003,0.23873846990843414,1.0656584363692956,0.24802402588192698,0.265324449566811,0.9347952150164449,spring,spring,summer,winter
