note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
Bay Leaf,678,679,UNMATCHED,,,,,UNMATCHED
Precious Woods,678,679,UNMATCHED,,,,,UNMATCHED
Egyptian Jasmine,677,680,UNMATCHED,,,,,UNMATCHED
Tarragon,676,676,MATCH_SECONDARY_DESCRIPTOR,Tarragon,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Seaweed,675,679,MATCH_SECONDARY_DESCRIPTOR,Seaweed,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cotton Candy,670,670,UNMATCHED,,,,,UNMATCHED
Beeswax,663,666,UNMATCHED,,,Beeswax absolute | Beeswax CO2 extract | Beeswax concrete | Beeswax resinoid,,CANDIDATE_ONLY
Marine notes,657,659,UNMATCHED,,,,,UNMATCHED
Hedione,627,628,UNMATCHED,,,,,UNMATCHED
Bitter Almond,626,626,UNMATCHED,,,,,UNMATCHED
White Woods,626,626,UNMATCHED,,,,,UNMATCHED
Green Mandarin,625,625,UNMATCHED,,,,,UNMATCHED
May Rose,625,625,UNMATCHED,,,,,UNMATCHED
Bamboo,618,619,UNMATCHED,,,,,UNMATCHED
Sandalowood,611,615,UNMATCHED,,,,,UNMATCHED
Cypriol,603,605,UNMATCHED,,,"Cypriol oil | Cypriol oil, rectified",,CANDIDATE_ONLY
Iso E Super,598,601,UNMATCHED,,,,,UNMATCHED
Pomelo,596,597,UNMATCHED,,,,,UNMATCHED
Cherry Blossom,595,599,MATCH_SECONDARY_DESCRIPTOR,Cherry-Blossom,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Rose,594,598,UNMATCHED,,,,,UNMATCHED
Violet Leaves,590,591,UNMATCHED,,,,,UNMATCHED
Vanilla Absolute,588,592,MATCH_PRINCIPAL_EXACT,Vanilla absolute,PRINCIPAL,,,STRICT_MATCH
Pistachio,585,598,UNMATCHED,,,,,UNMATCHED
Hibiscus,584,585,UNMATCHED,,,,,UNMATCHED
Brown sugar,583,586,UNMATCHED,,,,,UNMATCHED
Red Currant,583,583,UNMATCHED,,,,,UNMATCHED
Wormwood,582,584,UNMATCHED,,,"Wormwood oil | Wormwood oil, terpeneless",,CANDIDATE_ONLY
Lemon Verbena,581,581,UNMATCHED,,,,,UNMATCHED
Nectarine,577,578,UNMATCHED,,,,,UNMATCHED
Cocoa,576,584,MATCH_SECONDARY_DESCRIPTOR,Cocoa,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Resin,571,579,UNMATCHED,,,,,UNMATCHED
Solar Notes,570,571,UNMATCHED,,,,,UNMATCHED
Lychee,566,568,UNMATCHED,,,,,UNMATCHED
Dried Fruits,566,566,UNMATCHED,,,,,UNMATCHED
Clementine,557,559,UNMATCHED,,,,,UNMATCHED
Driftwood,557,558,UNMATCHED,,,,,UNMATCHED
Sichuan Pepper,554,555,UNMATCHED,,,Sichuan pepper CO2 extract,,CANDIDATE_ONLY
Blueberry,553,558,MATCH_SECONDARY_DESCRIPTOR,Blueberry,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Indonesian Patchouli Leaf,549,549,UNMATCHED,,,,,UNMATCHED
Whiskey,542,544,UNMATCHED,,,,,UNMATCHED
Coconut Milk,536,537,UNMATCHED,,,,,UNMATCHED
Champaca,531,535,UNMATCHED,,,Champaca absolute | Champaca oil,,CANDIDATE_ONLY
Peach Blossom,521,523,UNMATCHED,,,,,UNMATCHED
Australian Sandalwood,519,520,UNMATCHED,,,,,UNMATCHED
White Pepper,517,517,UNMATCHED,,,,,UNMATCHED
Animal notes,516,519,UNMATCHED,,,,,UNMATCHED
Peppermint,515,515,MATCH_SECONDARY_DESCRIPTOR,Peppermint,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
