system,short,population,family,family_ko,fragrantica_id,brand,name,top1,family_mass_ratio
S8A_A,8A-A,korea200,FLORAL,플로럴,20542,Maison Martin Margiela,Lazy Sunday Morning,0.7159,0.6592
S8A_A,8A-A,korea200,FLORAL,플로럴,6686,Byredo,Blanche,0.7086,0.6796
S8A_A,8A-A,korea200,FLORAL,플로럴,536,Estée Lauder,Pleasures,0.6831,0.7854
S8A_A,8A-A,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,1.0
S8A_A,8A-A,korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.5088,0.8837
S8A_A,8A-A,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S8A_A,8A-A,korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4803,0.9249
S8A_A,8A-A,korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,1.0
S8A_A,8A-A,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5215,1.0
S8A_A,8A-A,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S8A_A,8A-A,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S8A_A,8A-A,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4413,0.9342
S8A_A,8A-A,korea200,AQUATIC,아쿠아틱,70985,Maison Martin Margiela,When the Rain Stops,0.3743,1.0
S8A_A,8A-A,korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.6855,0.9578
S8A_A,8A-A,korea200,WOODY,우디,109564,Sennok,Slow September,0.581,0.9211
S8A_A,8A-A,korea200,WOODY,우디,12201,Le Labo,Santal 33,0.5462,0.8333
S8A_A,8A-A,korea200,WOODY,우디,85144,Essential Parfums,Patchouli Mania,0.5176,1.0
S8A_A,8A-A,korea200,WOODY,우디,74107,Mancera,Jasmin Exclusif,0.5048,0.929
S8A_A,8A-A,korea200,AMBER,앰버·스파이시,10131,Le Labo,Another 13,0.6972,0.9379
S8A_A,8A-A,korea200,AMBER,앰버·스파이시,50790,Essential Parfums,The Musc,0.6253,0.8403
S8A_A,8A-A,korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.6025,0.9346
S8A_A,8A-A,korea200,AMBER,앰버·스파이시,106299,BMW Fragrances,Amberness,0.5363,1.0
S8A_A,8A-A,korea200,AMBER,앰버·스파이시,115749,BMW Fragrances,BMW M 2025,0.5225,1.0
S8A_A,8A-A,korea200,GOURMAND,구르망,76824,Sabrina Carpenter,Sweet Tooth,0.8506,0.8732
S8A_A,8A-A,korea200,GOURMAND,구르망,50384,Ariana Grande,Cloud,0.8497,0.947
S8A_A,8A-A,korea200,GOURMAND,구르망,56741,Ariana Grande,"Thank U, Next",0.7306,1.0
S8A_A,8A-A,korea200,GOURMAND,구르망,42782,Mancera,Coco Vanille,0.6783,0.9206
S8A_A,8A-A,korea200,GOURMAND,구르망,2186,Montale,Chocolate Greedy,0.6782,0.9417
S8B_A,8B-A,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,1.0
S8B_A,8B-A,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4049,0.9321
S8B_A,8B-A,korea200,CITRUS,시트러스,2271,Lanvin,Rumeur 2 Rose,0.4049,1.0
S8B_A,8B-A,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.3906,1.0
S8B_A,8B-A,korea200,CITRUS,시트러스,46623,John Varvatos,Artisan Pure,0.3846,1.0
S8B_A,8B-A,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.439,0.9071
S8B_A,8B-A,korea200,FRUITY,프루티,653,Salvatore Ferragamo,Incanto Charms,0.41,0.8998
S8B_A,8B-A,korea200,FRUITY,프루티,3779,Lanvin,Jeanne Lanvin,0.3534,0.91
S8B_A,8B-A,korea200,FRUITY,프루티,29165,Jimmy Choo,Jimmy Choo Blossom,0.3378,0.908
S8B_A,8B-A,korea200,FRUITY,프루티,38914,Yves Saint Laurent,Mon Paris,0.3086,0.9101
S8B_A,8B-A,korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.8224,0.9727
S8B_A,8B-A,korea200,FLORAL,플로럴,17798,Byredo,Inflorescence,0.7606,0.8492
S8B_A,8B-A,korea200,FLORAL,플로럴,87956,Rance 1795,Mathilde,0.6677,0.851
S8B_A,8B-A,korea200,FLORAL,플로럴,75642,Dior,J'adore Parfum d'Eau,0.6475,0.9578
S8B_A,8B-A,korea200,FLORAL,플로럴,18767,Jo Malone London,Peony & Blush Suede,0.6443,0.812
S8B_A,8B-A,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,1.0
S8B_A,8B-A,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S8B_A,8B-A,korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,1.0
S8B_A,8B-A,korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.4496,1.0
S8B_A,8B-A,korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4442,1.0
S8B_A,8B-A,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5215,1.0
S8B_A,8B-A,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S8B_A,8B-A,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S8B_A,8B-A,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4413,0.9342
S8B_A,8B-A,korea200,AQUATIC,아쿠아틱,70985,Maison Martin Margiela,When the Rain Stops,0.3743,1.0
S8B_A,8B-A,korea200,WOODY,우디,46187,Jo Malone London,English Oak & Hazelnut,0.6566,1.0
S8B_A,8B-A,korea200,WOODY,우디,109564,Sennok,Slow September,0.5351,1.0
S8B_A,8B-A,korea200,WOODY,우디,85144,Essential Parfums,Patchouli Mania,0.5176,1.0
S8B_A,8B-A,korea200,WOODY,우디,32523,Mercedes-Benz,Mercedes Benz Man,0.4962,1.0
S8B_A,8B-A,korea200,WOODY,우디,890,Ralph Lauren,Polo,0.4751,1.0
S8B_A,8B-A,korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.8645,1.0
S8B_A,8B-A,korea200,AMBER,앰버·스파이시,2186,Montale,Chocolate Greedy,0.8182,1.0
S8B_A,8B-A,korea200,AMBER,앰버·스파이시,76824,Sabrina Carpenter,Sweet Tooth,0.808,1.0
S8B_A,8B-A,korea200,AMBER,앰버·스파이시,50384,Ariana Grande,Cloud,0.8046,1.0
S8B_A,8B-A,korea200,AMBER,앰버·스파이시,37603,Nishane,Fan Your Flames,0.7786,1.0
S8B_A,8B-A,korea200,MUSK,머스크·파우더리,93865,SW19,Midnight,0.5583,0.9129
S8B_A,8B-A,korea200,MUSK,머스크·파우더리,109565,Sennok,Soap Clean Soap,0.5429,0.8495
S8B_A,8B-A,korea200,MUSK,머스크·파우더리,50790,Essential Parfums,The Musc,0.4838,1.0
S8B_A,8B-A,korea200,MUSK,머스크·파우더리,124051,Postes,From.Saint-Tropez,0.4791,1.0
S8B_A,8B-A,korea200,MUSK,머스크·파우더리,131717,Diptyque,Fleur de Peau,0.467,0.915
S7_A,7-A,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,1.0
S7_A,7-A,korea200,CITRUS,시트러스,30796,Chanel,Chance Eau Vive,0.4484,0.8415
S7_A,7-A,korea200,CITRUS,시트러스,30567,Nishane,Wulóng Chá,0.4132,0.9453
S7_A,7-A,korea200,CITRUS,시트러스,2271,Lanvin,Rumeur 2 Rose,0.4049,1.0
S7_A,7-A,korea200,CITRUS,시트러스,72062,Dior,Dior Homme Cologne 2022,0.4,0.8503
S7_A,7-A,korea200,FRUITY,프루티,72381,Stéphane Humbert Lucas 777,God of Fire,0.439,0.9071
S7_A,7-A,korea200,FRUITY,프루티,653,Salvatore Ferragamo,Incanto Charms,0.41,0.8998
S7_A,7-A,korea200,FRUITY,프루티,3779,Lanvin,Jeanne Lanvin,0.3663,0.8778
S7_A,7-A,korea200,FRUITY,프루티,29165,Jimmy Choo,Jimmy Choo Blossom,0.3378,0.908
S7_A,7-A,korea200,FRUITY,프루티,46300,Mancera,Musky Garden,0.3155,0.8638
S7_A,7-A,korea200,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.8224,0.9727
S7_A,7-A,korea200,FLORAL,플로럴,17798,Byredo,Inflorescence,0.8041,0.8033
S7_A,7-A,korea200,FLORAL,플로럴,20542,Maison Martin Margiela,Lazy Sunday Morning,0.7159,0.6592
S7_A,7-A,korea200,FLORAL,플로럴,6686,Byredo,Blanche,0.7086,0.6796
S7_A,7-A,korea200,FLORAL,플로럴,536,Estée Lauder,Pleasures,0.6831,0.7854
S7_A,7-A,korea200,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,1.0
S7_A,7-A,korea200,GREEN,그린·아로마틱,275,Calvin Klein,CK be,0.5088,0.8837
S7_A,7-A,korea200,GREEN,그린·아로마틱,35456,John Varvatos,Artisan Blu,0.4875,0.9281
S7_A,7-A,korea200,GREEN,그린·아로마틱,109563,Sennok,After Bath,0.4803,0.9249
S7_A,7-A,korea200,GREEN,그린·아로마틱,64092,Nishane,EGE / ΑΙΓΑΙΟ,0.4703,1.0
S7_A,7-A,korea200,AQUATIC,아쿠아틱,53671,Parfums Berdoues,Azur Riviera,0.5215,1.0
S7_A,7-A,korea200,AQUATIC,아쿠아틱,47891,Maison Martin Margiela,Sailing Day,0.4698,0.9123
S7_A,7-A,korea200,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,1.0
S7_A,7-A,korea200,AQUATIC,아쿠아틱,1198,Ralph Lauren,Polo Blue,0.4413,0.9342
S7_A,7-A,korea200,AQUATIC,아쿠아틱,70985,Maison Martin Margiela,When the Rain Stops,0.3743,1.0
