candidate_family_id,canonical_brand,normalized_fragrance_name,commercial_identity_count,has_hwahae_signal,best_hwahae_rank,commercial_identity_ids,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,family_priority_rrf
cf_21adca0e5e6d,Replay,러버즈 포 우먼,1,False,,ci_d60c0d374cfc,,,36.0,0.010416666666666666
cf_379f7ddde27c,Chloé,로 드 인텐스 50,1,False,,ci_d3737a1b01d7,,37.0,,0.010309278350515464
cf_2fb2d933787c,마주리,시그니처 클래식,1,False,,ci_9655311a9980,,,37.0,0.010309278350515464
cf_690a9155cb34,Mancera,인스턴트 크러쉬,1,False,,ci_029d5242811e,,,38.0,0.01020408163265306
cf_a32f4ea18c27,Ariana Grande,스위트 라이크 캔디 중,1,False,,ci_6a46ead3c476,,39.0,,0.010101010101010102
cf_ceba3e317f5a,Narciso Rodriguez,포 허 퓨어 머스크 블랑,1,False,,ci_55c32188b932,,40.0,,0.01
cf_fb9c7d52368d,Rance 1795,헬레네 포 우먼,1,False,,ci_ef14f19b3b75,,,40.0,0.01
cf_eb5b511894d2,Mancera,통카 콜라,1,False,,ci_17579459b767,,,41.0,0.009900990099009901
cf_347dfc796be0,John Varvatos,아티산,1,False,,ci_2228ae3a9f00,42.0,,,0.00980392156862745
cf_6afa1ffa4e67,Kenneth Cole,맨카인드 라이즈,1,False,,ci_e202954dd7c6,,,42.0,0.00980392156862745
cf_23bc3c04b0f4,BMW Fragrances,M2025,1,False,,ci_c6b3db5b5caa,,,43.0,0.009708737864077669
cf_bab90df0a55c,누다라,시그니처 우드마벨,1,False,,ci_cc65771c068b,44.0,,,0.009615384615384616
cf_15ebc984ec5a,Forment,시그니처 코튼배쓰,1,False,,ci_f2e2d7044172,,45.0,,0.009523809523809525
cf_1127a956629f,훌라,아우텐티카,1,False,,ci_ca0ee5a0b251,,,45.0,0.009523809523809525
cf_7493d6c734d4,Mancera,인텐스 레드 토바코 엑스트레 드,1,False,,ci_3cd9661eab70,,,46.0,0.009433962264150943
cf_1a488a6f1f7f,Sennok,솝클린솝,1,False,,ci_f40670521ac6,47.0,,,0.009345794392523364
cf_6b3ee7e9ce21,Mancera,패블러스 유주,1,False,,ci_a1c5a87f45bb,,,47.0,0.009345794392523364
cf_a65b94c535c7,Clean,클리어 애플 블로썸,1,False,,ci_ed4dff7afb27,48.0,,,0.009259259259259259
cf_b0b728bf3515,Narciso Rodriguez,프레쉬로즈향 나르시소 크리스탈,1,False,,ci_090d5c757bdd,,48.0,,0.009259259259259259
cf_145ebb69c6a0,훌라,아도라빌레,1,False,,ci_552d7d6dc0b6,,,48.0,0.009259259259259259
cf_db32b9a532b6,Philosophy,원지안 어메이징 그레이스 60ml,1,False,,ci_92cf3d32574e,,49.0,,0.009174311926605505
cf_93d04806ca30,Mancera,코코 바닐,1,False,,ci_df319d71a09a,,,49.0,0.009174311926605505
cf_cbab37ae52ed,Coach,체리,1,False,,ci_b691058531a8,146.0,175.0,,0.009109688080975006
cf_396d3741f494,라멜린,플로럴,1,False,,ci_d7f360daaaee,,50.0,,0.00909090909090909
cf_902257a5f23b,Sabrina Carpenter,스위트투스,1,False,,ci_4630385a2560,319.0,95.0,,0.00909013533066644
cf_2e2f09a46e39,Mancera,시실리,1,False,,ci_7a181ba8b2ed,,,51.0,0.009009009009009009
cf_eeaa87bd68e8,Calvin Klein,CK One 에센스 인텐스,1,False,,ci_c5f6aa864282,,52.0,,0.008928571428571428
cf_8148bc86c0f8,Vivienne Westwood,이한 뉴욕인틸리,1,False,,ci_46238ae10e19,53.0,,,0.008849557522123894
