fragrantica_id,accord_name,strength,rank
75731,powdery,22,6
75731,woody,22,7
75731,floral,21,8
4849,floral,100,1
4849,citrus,85,2
4849,musky,82,3
4849,white floral,49,4
4849,powdery,45,5
4849,rose,44,6
4849,fresh spicy,27,7
4849,aromatic,17,8
42782,vanilla,100,1
42782,sweet,85,2
42782,coconut,77,3
42782,white floral,73,4
42782,powdery,37,5
42782,yellow floral,36,6
42782,fruity,29,7
42782,lactonic,29,8
16657,vanilla,100,1
16657,aromatic,91,2
16657,green,84,3
16657,fresh spicy,52,4
16657,amber,46,5
16657,fruity,37,6
16657,citrus,37,7
16657,woody,33,8
122669,sweet,100,1
122669,cherry,95,2
122669,white floral,84,3
122669,vanilla,70,4
122669,floral,70,5
122669,citrus,55,6
122669,amber,50,7
122669,aromatic,34,8
76824,sweet,100,1
76824,vanilla,63,2
76824,powdery,35,3
76824,musky,18,4
76824,lactonic,18,5
76824,warm spicy,18,6
76824,coconut,13,7
76824,chocolate,11,8
42670,citrus,100,1
42670,fruity,62,2
42670,sweet,42,3
42670,fresh spicy,25,4
42670,powdery,23,5
42670,white floral,21,6
42670,woody,19,7
42670,fresh,19,8
18042,floral,100,1
18042,rose,90,2
18042,sweet,63,3
18042,musky,58,4
18042,vanilla,51,5
18042,fruity,49,6
18042,white floral,49,7
18042,powdery,43,8
99134,fresh spicy,100,1
99134,citrus,83,2
99134,white floral,80,3
99134,woody,64,4
99134,aromatic,60,5
99134,powdery,58,6
99134,rose,42,7
99134,amber,40,8
74636,citrus,100,1
74636,marine,78,2
74636,aromatic,70,3
74636,salty,60,4
74636,white floral,40,5
74636,sweet,37,6
74636,woody,28,7
74636,fresh spicy,28,8
1198,ozonic,100,1
1198,aquatic,88,2
1198,aromatic,56,3
1198,fresh spicy,50,4
1198,green,49,5
1198,musky,46,6
1198,herbal,37,7
1198,fresh,30,8
4023,woody,100,1
4023,citrus,72,2
4023,fresh spicy,60,3
4023,powdery,37,4
4023,musky,27,5
4023,aromatic,26,6
4023,fresh,18,7
4023,amber,12,8
43531,green,100,1
43531,aromatic,57,2
43531,fresh spicy,38,3
43531,citrus,37,4
43531,soft spicy,16,5
43531,floral,15,6
43531,musky,15,7
43531,rose,15,8
129391,powdery,100,1
129391,woody,75,2
129391,iris,67,3
129391,green,62,4
129391,musky,59,5
129391,aromatic,56,6
129391,warm spicy,56,7
129391,earthy,36,8
123059,white floral,100,1
123059,fruity,91,2
123059,woody,87,3
123059,sweet,59,4
123059,citrus,57,5
123059,powdery,43,6
123059,salty,34,7
123059,musky,29,8
69742,fruity,100,1
69742,floral,70,2
69742,white floral,57,3
69742,powdery,48,4
69742,citrus,46,5
69742,musky,44,6
69742,lactonic,39,7
69742,sweet,26,8
50789,citrus,100,1
50789,white floral,64,2
50789,woody,58,3
50789,fresh spicy,50,4
50789,aromatic,38,5
50789,yellow floral,37,6
50789,floral,32,7
50789,sweet,25,8
6420,fruity,100,1
6420,floral,84,2
6420,white floral,79,3
6420,fresh,58,4
6420,woody,56,5
6420,powdery,53,6
6420,violet,44,7
6420,aquatic,37,8
3172,woody,100,1
3172,aromatic,87,2
3172,fresh spicy,83,3
3172,citrus,81,4
3172,powdery,66,5
3172,warm spicy,57,6
3172,iris,45,7
3172,lavender,42,8
64015,white floral,100,1
64015,vanilla,68,2
64015,fruity,53,3
64015,sweet,37,4
64015,powdery,34,5
64015,citrus,32,6
64015,soft spicy,22,7
64015,floral,12,8
1924,white floral,100,1
1924,fruity,63,2
1924,citrus,58,3
1924,floral,55,4
