condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
0.24,3,AQUATIC,아쿠아틱,4.67,13,0.0563,0.9592,2,0.8653,0.542,True
0.24,3,WOODY,우디,12.01,32,0.1349,0.9506,3,0.6547,0.47,True
0.24,3,AMBER,앰버·스파이시,7.91,24,0.1059,0.9978,1,0.6562,0.482,True
0.24,3,GOURMAND,구르망,13.0,32,0.0816,0.8113,2,0.5614,0.459,True
0.24,3,MUSK,머스크·파우더리,12.31,37,0.0664,0.9965,1,0.5898,0.86,True
0.24,4,CITRUS,시트러스,11.17,36,0.1102,1.0,1,0.7845,0.323,True
0.24,4,FRUITY,프루티,4.22,14,0.055,1.0,1,0.7492,0.36,True
0.24,4,FLORAL,플로럴,31.46,76,0.2821,0.9377,2,0.678,0.571,True
0.24,4,GREEN,그린·아로마틱,12.89,39,0.1655,0.9983,1,0.6375,0.463,True
0.24,4,AQUATIC,아쿠아틱,4.67,13,0.0396,0.8592,2,0.7517,0.465,True
0.24,4,WOODY,우디,12.01,32,0.1317,0.9661,2,0.6805,0.577,True
0.24,4,AMBER,앰버·스파이시,7.91,24,0.0834,1.0,1,0.6562,0.496,True
0.24,4,GOURMAND,구르망,13.0,32,0.0497,0.7921,2,0.5614,0.425,True
0.24,4,MUSK,머스크·파우더리,12.31,37,0.0829,0.8754,3,0.6493,0.975,True
0.22,42,CITRUS,시트러스,11.64,38,0.1183,0.9799,2,0.724,0.332,True
0.22,42,FRUITY,프루티,5.62,20,0.0756,0.9976,1,0.6455,0.379,True
0.22,42,FLORAL,플로럴,32.4,80,0.2579,0.8839,3,0.6687,0.589,True
0.22,42,GREEN,그린·아로마틱,14.02,44,0.163,0.7458,2,0.6272,0.476,True
0.22,42,AQUATIC,아쿠아틱,4.9,14,0.0418,0.9825,1,0.773,0.608,True
0.22,42,WOODY,우디,12.7,35,0.1157,0.9905,1,0.5957,0.576,True
0.22,42,AMBER,앰버·스파이시,8.61,27,0.0949,1.0,1,0.63,0.521,True
0.22,42,GOURMAND,구르망,14.37,38,0.0675,0.7703,2,0.5038,0.531,True
0.22,42,MUSK,머스크·파우더리,13.48,42,0.0653,0.9078,2,0.5367,0.949,True
0.22,1,CITRUS,시트러스,11.64,38,0.1157,0.9948,1,0.6728,0.312,True
0.22,1,FRUITY,프루티,5.62,20,0.0559,1.0,1,0.6455,0.348,True
